article_index,Excluded?,coder_1,coder_2,coder_3,coder_4,notes
Prosecutions.55,1,KyraFox,dsolomon_ushmm,KyraFox,Jessmoody89,
Prosecutions.56,1,KyraFox,dsolomon_ushmm,KyraFox,Jessmoody89,
Prosecutions.57,1,KyraFox,dsolomon_ushmm,KyraFox,Jessmoody89,
Prosecutions.58,1,KyraFox,dsolomon_ushmm,KyraFox,Jessmoody89,
Prosecutions.59,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Prosecutions.60,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Prosecutions.61,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.63,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Prosecutions.64,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Prosecutions.65,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.66,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.67,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.71,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.72,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.73,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.74,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.75,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.76,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.77,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Prosecutions.78,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.79,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.80,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.81,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.82,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.83,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,"Omitted in November 2023, given undergrad / MA exclusion rule"
Prosecutions.84,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.85,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Prosecutions.86,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Prosecutions.87,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Prosecutions.88,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.89,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Prosecutions.90,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.91,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Prosecutions.92,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Prosecutions.93,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Prosecutions.94,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Targeted Sanctions.01,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Targeted Sanctions.02,1,KyraFox,dsolomon_ushmm,Jessmoody89,Alexbhall,
Targeted Sanctions.03,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Targeted Sanctions.04,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Targeted Sanctions.05,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Targeted Sanctions.06,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Targeted Sanctions.07,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Targeted Sanctions.08,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Targeted Sanctions.09,1,KyraFox,dsolomon_ushmm,,,
Targeted Sanctions.10,1,KyraFox,dsolomon_ushmm,KyraFox,Alexbhall,
Targeted Sanctions.11,0,KyraFox,dsolomon_ushmm,KyraFox,Alexbhall,
Targeted Sanctions.12,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Targeted Sanctions.13,1,KyraFox,dsolomon_ushmm,KyraFox,Alexbhall,
Targeted Sanctions.14,1,KyraFox,dsolomon_ushmm,KyraFox,Alexbhall,
Targeted Sanctions.15,1,KyraFox,dsolomon_ushmm,KyraFox,Alexbhall,
Targeted Sanctions.16,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Targeted Sanctions.17,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Targeted Sanctions.18,1,KyraFox,dsolomon_ushmm,KyraFox,Alexbhall,
Targeted Sanctions.19,1,KyraFox,dsolomon_ushmm,KyraFox,Alexbhall,
Targeted Sanctions.20,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Targeted Sanctions.21,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Alexbhall,
Targeted Sanctions.22,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Targeted Sanctions.23,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Targeted Sanctions.24,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Targeted Sanctions.25,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.01,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.02,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.03,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.04,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.05,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.06,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.07,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.08,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.09,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.10,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.11,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.12,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.13,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.14,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.15,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.16,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.17,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.18,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.19,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.20,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.21,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.22,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Arms Embargoes.23,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Arms Embargoes.24,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Arms Embargoes.24,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Arms Embargoes.26,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Arms Embargoes.27,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Arms Embargoes.28,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Arms Embargoes.29,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Arms Embargoes.30,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Arms Embargoes.31,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Arms Embargoes.32,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Arms Embargoes.33,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Arms Embargoes.34,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Arms Embargoes.35,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Arms Embargoes.36,1,KyraFox,dsolomon_ushmm,dsolomon_ushmm,Jessmoody89,
Arms Embargoes.37,1,KyraFox,dsolomon_ushmm,dsolomon_ushmm,Jessmoody89,
Arms Embargoes.38,1,KyraFox,dsolomon_ushmm,dsolomon_ushmm,Jessmoody89,
Arms Embargoes.39,1,KyraFox,dsolomon_ushmm,dsolomon_ushmm,Jessmoody89,
Arms Embargoes.40,1,KyraFox,dsolomon_ushmm,dsolomon_ushmm,Jessmoody89,
Arms Embargoes.41,1,KyraFox,dsolomon_ushmm,dsolomon_ushmm,Jessmoody89,
Arms Embargoes.42,1,KyraFox,dsolomon_ushmm,dsolomon_ushmm,Jessmoody89,
Arms Embargoes.43,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
Arms Embargoes.44,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
Arms Embargoes.45,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
Arms Embargoes.46,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
Arms Embargoes.47,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
Arms Embargoes.48,1,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
Arms Embargoes.49,0,KyraFox,dsolomon_ushmm,sascha.nanlohy,Jessmoody89,
Military Intervention.001,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.002,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.003,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.004,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.005,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.006,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.007,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.008,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.009,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.010,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.011,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.012,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.013,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.014,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.015,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.016,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.017,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.018,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.019,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.020,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.021,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.022,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.023,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.024,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.025,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.026,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.027,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.028,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.029,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.030,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.031,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.032,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.033,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.034,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.035,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.036,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.037,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.038,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.039,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.040,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.041,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.042,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.043,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.044,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.045,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.046,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.047,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.048,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.049,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.050,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.051,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.052,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.053,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.054,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.055,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.056,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.057,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.058,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.059,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.060,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.061,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.062,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.063,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.064,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.065,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.066,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.067,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.068,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.069,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.070,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.071,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.072,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.073,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.074,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.075,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.076,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.077,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.078,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.079,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.080,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.081,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.082,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.083,1,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.084,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.085,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.086,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.087,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.088,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.089,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.090,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.091,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.092,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.093,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.094,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.095,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.096,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.097,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.098,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.099,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.100,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.101,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.102,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.103,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.104,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.105,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.106,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.107,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.108,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.109,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.110,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.111,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.112,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.113,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.114,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.115,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.116,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.117,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.118,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.119,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.120,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.121,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.122,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.123,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.124,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.125,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.126,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.127,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.128,0,KyraFox,dsolomon_ushmm,KyraFox,sascha.nanlohy,
Military Intervention.129,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.130,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.131,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.132,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.133,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.134,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.135,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.136,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.137,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.138,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.139,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.140,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.141,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Military Intervention.142,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.02,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Comprehensive Economic Sanctions.03,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Comprehensive Economic Sanctions.04,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Comprehensive Economic Sanctions.05,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Comprehensive Economic Sanctions.06,0,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Comprehensive Economic Sanctions.07,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Comprehensive Economic Sanctions.08,1,KyraFox,dsolomon_ushmm,Jessmoody89,sascha.nanlohy,
Comprehensive Economic Sanctions.09,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.10,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.11,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.12,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.13,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.14,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.15,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.16,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.17,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.18,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.19,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.20,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.21,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.22,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.23,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.24,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.25,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.26,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.27,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.28,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.29,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.30,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.31,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.32,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.33,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.34,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.35,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.36,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.37,0,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.38,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.39,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.40,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
Comprehensive Economic Sanctions.41,1,KyraFox,dsolomon_ushmm,tallandonine,sascha.nanlohy,
